品牌,厂商,车系,车款,入库总数,指导价,均价,变化值,最低价,最低价渠道,最低价时间,暗访均价,暗访最低价,获取时间,暗访最近价,获取时间,暗访总数
华泰,华泰汽车,宝利格,2014款 1.8T 手动两驱智享版,0,10.97,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),牧马人,2014款 3.6L 龙腾典藏版,0,56.88,0,0.00,0,,0,0,0,,0,0,0
讴歌,讴歌,讴歌MDX,2014款 3.5L 精英版,0,73.90,0,0.00,0,,0,0,0,,0,0,0
讴歌,讴歌,讴歌MDX,2014款 3.5L 豪华版,0,79.50,0,0.00,0,,0,0,0,,0,0,0
起亚,东风悦达起亚,福瑞迪,2014款 1.6L AT Premium Special,0,13.48,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 1.6T 时尚版,0,19.28,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 1.6T 豪华版,0,20.88,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 1.6T 旗舰版,0,22.68,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 2.0L 时尚版,0,17.98,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 2.0L 豪华版,0,19.48,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),速迈,2014款 2.0L 旗舰版,0,21.18,0,0.00,0,,0,0,0,,0,0,0
日产,日产(进口),途乐,2014款 5.6L LE,0,119.80,0,0.00,0,,0,0,0,,0,0,0
大众,大众(进口),迈特威,2014款 2.0T 行政版,0,81.80,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马M,宝马M5,2014款 M5,0,178.80,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG5,2014款 1.5T 自动豪华型,0,10.97,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG5,2014款 1.5T 自动旗舰型,0,11.76,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 两厢 1.4L 手动理想型,0,6.59,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 两厢 1.5L 自动畅想型,0,7.79,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 两厢 1.5L 自动理想型,0,8.09,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 三厢 1.4L 手动畅想型,0,5.79,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 三厢 1.4L 手动梦想型,0,6.59,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 三厢 1.5L 自动畅想型,0,7.79,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 三厢 1.5L 自动理想型,0,8.09,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 1.8L 手动舒适型,0,12.98,0,0.00,0,,0,0,0,,0,0,0
标致,东风标致,标致301,2014款 1.6L 手动舒适版,0,8.47,0,0.00,0,,0,0,0,,0,0,0
标致,东风标致,标致301,2014款 1.6L 自动舒适版,0,9.47,0,0.00,0,,0,0,0,,0,0,0
标致,东风标致,标致301,2014款 1.6L 手动豪华版,0,9.57,0,0.00,0,,0,0,0,,0,0,0
标致,东风标致,标致301,2014款 1.6L 自动豪华版,0,10.57,0,0.00,0,,0,0,0,,0,0,0
标致,东风标致,标致301,2014款 1.6L 自动尊贵版,0,11.67,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 1.8L 自动舒适型,0,13.98,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 1.8L 自动智能型,0,14.98,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 1.8L 自动尊贵型,0,15.98,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 2.0L 自动至尊型,0,17.68,0,0.00,0,,0,0,0,,0,0,0
现代,北京现代,名图,2014款 2.0L 自动旗舰型,0,18.98,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,天籁,2013款 2.5L XL-NAVI豪华版,0,21.68,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,天籁,2014款 公爵 2.5L XV尊享版,0,25.18,0,0.00,0,,0,0,0,,0,0,0
广汽传祺,广汽乘用车,传祺GA3,2014款 1.6L 自动智慧版,0,10.68,0,0.00,0,,0,0,0,,0,0,0
丰田,广汽丰田,YARiS L 致炫,2014款 1.3 手动灵动版,0,6.98,0,0.00,0,,0,0,0,,0,0,0
丰田,广汽丰田,YARiS L 致炫,2014款 1.3E 手动魅动版,0,7.48,0,0.00,0,,0,0,0,,0,0,0
丰田,广汽丰田,YARiS L 致炫,2014款 1.3E 自动魅动版,0,8.28,0,0.00,0,,0,0,0,,0,0,0
丰田,广汽丰田,YARiS L 致炫,2014款 1.5G 手动炫动版,0,8.58,0,0.00,0,,0,0,0,,0,0,0
丰田,广汽丰田,YARiS L 致炫,2014款 1.5G 自动炫动版,0,9.38,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,派喜,2012款 1.4VVT 精英型,0,5.00,0,0.00,0,,0,0,0,,0,0,0
铃木,昌河铃木,利亚纳A6,2014款 三厢 1.4L 手动幸福型,0,5.59,0,0.00,0,,0,0,0,,0,0,0
东风风行,东风风行,景逸X5,2013款 1.6L 豪华型,0,7.99,0,0.00,0,,0,0,0,,0,0,0
东风风行,东风风行,景逸X5,2013款 1.6L 尊贵型,0,9.29,0,0.00,0,,0,0,0,,0,0,0
东风风行,东风风行,景逸X5,2013款 1.8T 尊享型,0,9.99,0,0.00,0,,0,0,0,,0,0,0
东风风行,东风风行,景逸X5,2013款 1.8T 尊贵型,0,10.59,0,0.00,0,,0,0,0,,0,0,0
东风风行,东风风行,景逸X5,2013款 1.6L 尊享型 国IV,0,8.69,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,奔奔MINI,2012款 1.0L 手动亲情版 国IV,0,3.69,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,奔奔MINI,2012款 1.0L 手动时尚版 国IV,0,3.99,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,奔奔MINI,2012款 1.0L IMT时尚版 国IV,0,4.49,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,奔奔MINI,2012款 1.0L IMT导航版 国IV,0,4.89,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,阳光,2015款 1.5XE CVT大师版,0,9.40,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华H220,2014款 1.5L 手动酷悦型,0,6.18,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华H220,2014款 1.5L AMT精英型,0,6.58,0,0.00,0,,0,0,0,,0,0,0
中华,华晨中华,中华H220,2014款 1.5L AMT天窗型,0,6.78,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,长安CX20,2014款 1.4L 手动运动版 国IV,0,5.59,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,长安CX20,2014款 1.4L 手动天窗导航版 国IV,0,5.99,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,长安CX20,2014款 1.4L IMT天窗导航版 国IV,0,6.49,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),佳乐,2013款 2.0L 5座自动标准版 国IV,0,15.98,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),佳乐,2013款 2.0L 5座自动舒适版 国IV,0,17.78,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),佳乐,2013款 2.0L 7座自动标准版 国IV,0,16.38,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),佳乐,2013款 2.0L 7座自动舒适版 国IV,0,18.18,0,0.00,0,,0,0,0,,0,0,0
起亚,起亚(进口),佳乐,2013款 2.0L 7座自动豪华版 国IV,0,20.58,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,悦翔V5,2012款 1.5L 手动运动型 国IV,0,6.59,0,0.00,0,,0,0,0,,0,0,0
宝骏,上汽通用五菱,乐驰,2012款 改款 1.0L 手动P-TEC舒适型,0,4.33,0,0.00,0,,0,0,0,,0,0,0
劳斯莱斯,劳斯莱斯,古思特,2014款 6.6T 加长版,0,511.80,0,0.00,0,,0,0,0,,0,0,0
劳斯莱斯,劳斯莱斯,古思特,2014款 6.6T 阿尔卑斯挑战之旅世纪典藏版,0,666.00,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,奔奔MINI,2012款 1.0L 手动亲情版 国V,0,3.79,0,0.00,0,,0,0,0,,0,0,0
斯柯达,斯柯达(进口),速尊,2014款 2.0TSI 尊贵版,0,29.98,0,0.00,0,,0,0,0,,0,0,0
铃木,长安铃木,锋驭,2014款 1.6L 手动两驱进取型,0,10.98,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2014款 两厢 1.5L 手动舒适型,0,6.68,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2014款 两厢 1.5L 自动舒适型,0,7.18,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2014款 两厢 1.5L 手动豪华型,0,7.38,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2014款 两厢 1.5L 自动豪华型,0,8.18,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 手动基本型,0,6.28,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 手动舒适型,0,6.68,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 自动舒适型,0,7.38,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 手动豪华型,0,7.38,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 自动豪华型,0,8.18,0,0.00,0,,0,0,0,,0,0,0
欧朗,一汽欧朗,欧朗,2012款 三厢 1.5L 自动尊贵型,0,8.98,0,0.00,0,,0,0,0,,0,0,0
丰田,丰田(进口),普拉多(进口),2014款 2.7L 手动版,0,43.90,0,0.00,0,,0,0,0,,0,0,0
丰田,丰田(进口),普拉多(进口),2014款 2.7L 自动标准版,0,45.10,0,0.00,0,,0,0,0,,0,0,0
丰田,丰田(进口),普拉多(进口),2014款 2.7L 自动豪华版,0,48.90,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2014款 XT 1.6L 手动舒适版,0,12.99,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2014款 XT 1.6L 自动舒适版,0,14.49,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2014款 XT 1.6L 手动进取版,0,13.49,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2014款 XT 1.6L 自动时尚版,0,14.99,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2014款 XT 1.6T 自动时尚运动版,0,17.15,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,英朗,2013款 GT 1.6T 自动时尚运动版,0,17.73,0,0.00,0,,0,0,0,,0,0,0
哈弗,长城汽车,哈弗H6,2014款 运动版 2.4L 自动精英型,0,13.68,0,0.00,0,,0,0,0,,0,0,0
哈弗,长城汽车,哈弗H6,2014款 运动版 2.4L 自动尊贵型,0,14.68,0,0.00,0,,0,0,0,,0,0,0
中兴,中兴汽车,中兴C3,2014款 1.5L 手动启航版,0,5.88,0,0.00,0,,0,0,0,,0,0,0
众泰,众泰汽车,众泰T600,2014款 1.5T 手动精英型,0,7.98,0,0.00,0,,0,0,0,,0,0,0
众泰,众泰汽车,众泰T600,2014款 1.5T 手动豪华型,0,8.68,0,0.00,0,,0,0,0,,0,0,0
众泰,众泰汽车,众泰T600,2014款 1.5T 手动尊贵型,0,9.88,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,别克GL8,2014款 2.4L 经典版,0,20.90,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,别克GL8,2014款 2.4L 舒适版,0,22.80,0,0.00,0,,0,0,0,,0,0,0
别克,通用别克,别克GL8,2014款 2.4L 行政版,0,24.80,0,0.00,0,,0,0,0,,0,0,0
宾利,宾利,慕尚,2014款 6.8T 四季臻藏版,0,688.00,0,0.00,0,,0,0,0,,0,0,0
北京汽车,北京汽车,北京40,2014款 2.4L 手动穿越版,0,14.68,0,0.00,0,,0,0,0,,0,0,0
北京汽车,北京汽车,北京40,2014款 2.4L 手动征途版,0,15.68,0,0.00,0,,0,0,0,,0,0,0
北京汽车,北京汽车,北京40,2014款 2.4L 手动酷野版,0,18.68,0,0.00,0,,0,0,0,,0,0,0
野马汽车,四川汽车,野马F12,2014款 1.5L 手动,0,4.98,0,0.00,0,,0,0,0,,0,0,0
野马汽车,四川汽车,野马F12,2014款 1.6L CVT,0,6.28,0,0.00,0,,0,0,0,,0,0,0
海马,海马汽车,海马M8,2014款 2.0L 手动舒适型,0,12.68,0,0.00,0,,0,0,0,,0,0,0
海马,海马汽车,海马M8,2014款 2.0L 自动舒适型,0,14.68,0,0.00,0,,0,0,0,,0,0,0
海马,海马汽车,海马M8,2014款 2.0L 自动豪华型,0,16.68,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪SQ5,2014款 SQ5 3.0TFSI quattro,0,69.80,0,0.00,0,,0,0,0,,0,0,0
东南,东南汽车,V5菱致,2015款 plus 1.5L 手动智尊型,0,8.29,0,0.00,0,,0,0,0,,0,0,0
东南,东南汽车,V5菱致,2015款 plus 1.5L CVT智尊型,0,9.09,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG3,2014款 1.5L 手动超值版,0,7.66,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG3,2014款 1.5L 手动精英版,0,7.87,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG3,2014款 1.5L 自动精英版,0,8.37,0,0.00,0,,0,0,0,,0,0,0
MG,上汽集团,MG3,2014款 1.5L 自动豪华版,0,9.17,0,0.00,0,,0,0,0,,0,0,0
雷克萨斯,雷克萨斯,雷克萨斯GS,2014款 300h 领先版,0,57.00,0,0.00,0,,0,0,0,,0,0,0
雷克萨斯,雷克萨斯,雷克萨斯GS,2014款 300h 豪华版,0,67.50,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马M,宝马M5,2014款 M5 马年限量版,0,197.80,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马M,宝马M6,2014款 M6 Gran Coupe 马年限量版,0,276.80,0,0.00,0,,0,0,0,,0,0,0
雷克萨斯,雷克萨斯,雷克萨斯GX,2014款 400 尊享版,0,94.68,0,0.00,0,,0,0,0,,0,0,0
大众,大众(进口),途锐,2014款 3.0TSI V6 黑色探险者,0,91.60,0,0.00,0,,0,0,0,,0,0,0
荣威,上汽集团,荣威550,2014款 550S 1.8L 手动智选版,0,11.68,0,0.00,0,,0,0,0,,0,0,0
荣威,上汽集团,荣威550,2014款 550S 1.8L 自动智选版,0,12.98,0,0.00,0,,0,0,0,,0,0,0
铃木,铃木(进口),速翼特,2014款 1.6L 手动两驱豪华版,0,17.88,0,0.00,0,,0,0,0,,0,0,0
铃木,铃木(进口),速翼特,2014款 1.6L CVT两驱豪华版,0,18.88,0,0.00,0,,0,0,0,,0,0,0
北京汽车,北京汽车,北京汽车E系列,2013款 两厢 1.5L 手动乐天版,0,6.18,0,0.00,0,,0,0,0,,0,0,0
北京汽车,北京汽车,北京汽车E系列,2013款 两厢 1.5L 自动乐天版,0,6.81,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,猎豹CS6,2014款 2.4L 两驱舒适型,0,14.68,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,猎豹CS6,2014款 2.4L 四驱舒适型,0,16.98,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,猎豹CS6,2014款 2.4L 四驱豪华型,0,19.78,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,黑金刚,2014款 2.4L 手动两驱,0,14.68,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,黑金刚,2014款 2.4L 手动四驱,0,17.98,0,0.00,0,,0,0,0,,0,0,0
猎豹汽车,猎豹汽车,黑金刚,2014款 2.5T 柴油两驱,0,15.80,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 TFSI 手动基本型,0,38.30,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 TFSI 标准型,0,40.98,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 TFSI 舒适型,0,44.66,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 30 FSI 技术型,0,42.95,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 30 FSI 舒适型,0,46.87,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 30 FSI 豪华型,0,50.66,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 35 FSI 舒适型,0,55.16,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪Q5,2016款 40 TFSI 进取型,0,38.34,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 35 FSI 豪华型,0,62.76,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 35 FSI quattro 豪华型,0,66.96,0,0.00,0,,0,0,0,,0,0,0
奥迪,一汽-大众奥迪,奥迪A6L,2014款 50 TFSI quattro 豪华型,0,74.26,0,0.00,0,,0,0,0,,0,0,0
丰田,丰田(进口),杰路驰,2014款 2.5L 豪华版,0,24.56,0,0.00,0,,0,0,0,,0,0,0
福特,长安福特,致胜,2013款 2.3L 时尚型,0,17.98,0,0.00,0,,0,0,0,,0,0,0
福特,长安福特,致胜,2013款 2.3L 豪华型,0,19.48,0,0.00,0,,0,0,0,,0,0,0
大众,一汽-大众,宝来,2014款 1.6L 手动时尚型,0,10.78,0,0.00,0,,0,0,0,,0,0,0
大众,一汽-大众,宝来,2014款 1.6L 自动时尚型,0,11.98,0,0.00,0,,0,0,0,,0,0,0
大众,一汽-大众,宝来,2014款 1.6L 手动舒适型,0,11.63,0,0.00,0,,0,0,0,,0,0,0
大众,一汽-大众,宝来,2014款 1.6L 自动舒适型,0,12.83,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),指南者,2014款 改款 2.0L 两驱进取版,0,22.19,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),指南者,2014款 改款 2.0L 两驱精英版,0,24.49,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),指南者,2014款 改款 2.4L 四驱舒适版,0,24.59,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),指南者,2014款 改款 2.4L 四驱豪华版,0,26.99,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),指南者,2014款 改款 2.4L 四驱豪华导航版,0,28.09,0,0.00,0,,0,0,0,,0,0,0
Jeep,Jeep(进口),自由客,2014款 2.0L 运动增强版,0,22.99,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,阳光,2014款 1.5XE CVT舒适版,0,8.98,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,阳光,2014款 1.5XE CVT精英版,0,9.28,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,阳光,2014款 1.5XL CVT豪华版,0,10.28,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,阳光,2014款 1.5XV CVT尊贵版,0,11.28,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A7,2014款 30 FSI 时尚型,0,62.80,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A7,2014款 30 FSI 进取型,0,69.80,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A7,2014款 35 FSI quattro 技术型,0,72.80,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A7,2014款 50 TFSI quattro 舒适型,0,82.80,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A7,2014款 50 TFSI quattro 豪华型,0,95.80,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马(进口),宝马X5,2014款 xDrive30d,0,87.70,0,0.00,0,,0,0,0,,0,0,0
长安,长安汽车,长安CS75,2015款 1.8T 自动四驱时尚型,0,14.28,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马(进口),宝马X5,2014款 xDrive35i 领先型,0,93.80,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马(进口),宝马X5,2014款 xDrive35i 豪华型,0,98.50,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马(进口),宝马X5,2014款 xDrive35i 尊享型,0,111.50,0,0.00,0,,0,0,0,,0,0,0
宝马,宝马(进口),宝马X5,2014款 xDrive50i M运动型,0,177.30,0,0.00,0,,0,0,0,,0,0,0
斯柯达,斯柯达(进口),速尊,2014款 2.0TSI L&K限量版,0,33.48,0,0.00,0,,0,0,0,,0,0,0
保时捷,保时捷,Panamera,2014款 Panamera Turbo S Executive 4.8T,0,322.00,0,0.00,0,,0,0,0,,0,0,0
奥迪,奥迪(进口),奥迪A4(进口),2014款 40 TFSI allroad quattro plus版,0,41.80,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.0L 手动时尚版 2WD,0,18.18,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.0L CVT时尚版 2WD,0,18.88,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.0L CVT舒适版 2WD,0,19.68,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.0L CVT智领版 2WD,0,20.98,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.0L CVT智驱版 4WD,0,21.88,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.5L CVT领先版 4WD,0,22.88,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.5L CVT豪华版 4WD,0,23.88,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.5L CVT尊享版 4WD,0,25.08,0,0.00,0,,0,0,0,,0,0,0
日产,东风日产,奇骏,2014款 2.5L CVT至尊版 4WD,0,26.78,0,0.00,0,,0,0,0,,0,0,0
陆风,陆风汽车,陆风X8,2014款 探索版 2.0T 汽油4x2豪华型,0,10.98,0,0.00,0,,0,0,0,,0,0,0
陆风,陆风汽车,陆风X8,2014款 探索版 2.0T 汽油4x4豪华型,0,12.68,0,0.00,0,,0,0,0,,0,0,0
陆风,陆风汽车,陆风X8,2014款 探索版 2.0T 汽油4x2超豪华型,0,12.18,0,0.00,0,,0,0,0,,0,0,0
陆风,陆风汽车,陆风X8,2014款 探索版 2.0T 汽油4x4超豪华型,0,13.98,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L 手动豪华型 国IV,0,10.48,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L 手动尊雅型 国IV,0,10.98,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L 手动尊享型 国IV,0,11.58,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L 手动尊贵型 国IV,0,12.98,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L CVT豪华型 国IV,0,11.48,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L CVT尊雅型 国IV,0,11.98,0,0.00,0,,0,0,0,,0,0,0
日产,郑州日产,日产NV200,2014款 1.6L CVT尊贵型 国IV,0,13.98,0,0.00,0,,0,0,0,,0,0,0
保时捷,保时捷,保时捷911,2016款 Carrera 3.0T,0,131.80,0,0.00,0,,0,0,0,,0,0,0
保时捷,保时捷,Cayman,2013款 Cayman 2.7L,0,72.70,0,0.00,0,,0,0,0,,0,0,0
保时捷,保时捷,Cayman,2013款 Cayman S 3.4L,0,100.90,0,0.00,0,,0,0,0,,0,0,0
比亚迪,比亚迪,比亚迪e6,2014款 先行者豪华版,0,30.98,0,0.00,0,,0,0,0,,0,0,0
比亚迪,比亚迪,比亚迪e6,2014款 先行者尊贵版,0,36.98,0,0.00,0,,0,0,0,,0,0,0
马自达,马自达(进口),马自达CX-9,2013款 3.7L 自动标准型,0,43.90,0,0.00,0,,0,0,0,,0,0,0
瑞麒,奇瑞汽车,瑞麒M1,2011款 1.0L 手动标准型,0,4.18,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,驰鹏,2011款 3.6 7座标准型,0,58.78,0,0.00,0,,0,0,0,,0,0,0
荣威,上汽集团,荣威E50,2013款 标准型,0,23.49,0,0.00,0,,0,0,0,,0,0,0
劳斯莱斯,劳斯莱斯,魅影,2013款 6.6T 标准型,0,471.00,0,0.00,0,,0,0,0,,0,0,0
比亚迪,比亚迪,比亚迪e6,2014款 精英型(北京版),0,33.00,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,力狮,2014款 2.5i 雅尚精英版,0,24.98,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,力狮,2014款 2.5i 雅尚智能版,0,28.98,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,力狮,2014款 2.5i 豪华版,0,28.98,0,0.00,0,,0,0,0,,0,0,0
斯巴鲁,斯巴鲁,力狮,2014款 2.5GT 雅尚运动版,0,36.98,0,0.00,0,,0,0,0,,0,0,0
丰田,一汽丰田,威驰,2014款 1.5L 手动智臻版,0,7.98,0,0.00,0,,0,0,0,,0,0,0
丰田,一汽丰田,威驰,2014款 1.5L 自动智臻版,0,8.78,0,0.00,0,,0,0,0,,0,0,0
丰田,一汽丰田,威驰,2014款 1.5L 手动智享版,0,9.18,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 1.6T 自动舒适版,0,18.19,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 1.6T 自动豪华版,0,21.59,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 2.0L 自动舒适版,0,16.99,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 2.0L 自动豪华版,0,18.69,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 2.4L 自动豪华版,0,20.49,0,0.00,0,,0,0,0,,0,0,0
雪佛兰,通用雪佛兰,迈锐宝,2014款 2.4L 自动旗舰版,0,23.69,0,0.00,0,,0,0,0,,0,0,0
广汽传祺,广汽乘用车,传祺GS5,2014款 1.8T 自动两驱超享版,0,15.08,0,0.00,0,,0,0,0,,0,0,0
广汽传祺,广汽乘用车,传祺GS5,2014款 2.0L 自动两驱超享版,0,13.68,0,0.00,0,,0,0,0,,0,0,0
广汽传祺,广汽乘用车,传祺GS5,2014款 2.0L 手动两驱周年增值版,0,13.98,0,0.00,0,,0,0,0,,0,0,0
